0.0254% is done | total is: 2930501440 | total time: 694.247secs | previous time: 3.843secs
0.0255% is done | total is: 2947834168 | total time: 697.992secs | previous time: 3.745secs
0.0256% is done | total is: 2965193200 | total time: 701.857secs | previous time: 3.865secs
0.0257% is done | total is: 2983853608 | total time: 705.597secs | previous time: 3.740secs
0.0258% is done | total is: 3001758712 | total time: 709.535secs | previous time: 3.939secs
0.0259% is done | total is: 3019396744 | total time: 713.247secs | previous time: 3.712secs
0.026% is done | total is: 3036496024 | total time: 717.132secs | previous time: 3.885secs
0.0261% is done | total is: 3053611816 | total time: 721.077secs | previous time: 3.945secs
0.0262% is done | total is: 3070299672 | total time: 724.990secs | previous time: 3.914secs
0.0263% is done | total is: 3088312224 | total time: 728.923secs | previous time: 3.933secs
0.0264% is done | total is: 3105531312 | total time: 732.727secs | previous time: 3.804secs
0.0265% is done | total is: 3123994272 | total time: 740.930secs | previous time: 8.203secs
0.0266% is done | total is: 3140611752 | total time: 752.154secs | previous time: 11.224secs
0.0267% is done | total is: 3161060472 | total time: 763.201secs | previous time: 11.047secs
0.0268% is done | total is: 3179047368 | total time: 774.276secs | previous time: 11.076secs
0.0269% is done | total is: 3195267672 | total time: 785.139secs | previous time: 10.863secs
0.027% is done | total is: 3213190368 | total time: 796.035secs | previous time: 10.896secs
0.0271% is done | total is: 3232969568 | total time: 807.120secs | previous time: 11.086secs
0.0272% is done | total is: 3250293128 | total time: 818.152secs | previous time: 11.032secs
0.0273% is done | total is: 3267133448 | total time: 829.430secs | previous time: 11.278secs
0.0274% is done | total is: 3285478448 | total time: 840.604secs | previous time: 11.175secs
0.0275% is done | total is: 3303035528 | total time: 851.657secs | previous time: 11.053secs
0.0276% is done | total is: 3321012344 | total time: 862.944secs | previous time: 11.287secs
0.0277% is done | total is: 3338410328 | total time: 874.282secs | previous time: 11.339secs
0.0278% is done | total is: 3356356712 | total time: 885.448secs | previous time: 11.166secs
0.0279% is done | total is: 3376218104 | total time: 896.411secs | previous time: 10.964secs
0.028% is done | total is: 3394915792 | total time: 907.664secs | previous time: 11.253secs
0.0281% is done | total is: 3411860992 | total time: 919.534secs | previous time: 11.870secs
0.0282% is done | total is: 3430292080 | total time: 930.941secs | previous time: 11.406secs
0.0283% is done | total is: 3448551784 | total time: 942.193secs | previous time: 11.253secs
0.0284% is done | total is: 3465768256 | total time: 953.622secs | previous time: 11.428secs
0.0285% is done | total is: 3485192944 | total time: 965.370secs | previous time: 11.748secs
0.0286% is done | total is: 3503647120 | total time: 976.559secs | previous time: 11.189secs
0.0287% is done | total is: 3521829400 | total time: 987.774secs | previous time: 11.216secs
0.0288% is done | total is: 3539356936 | total time: 999.422secs | previous time: 11.648secs
0.0289% is done | total is: 3557731032 | total time: 1011.108secs | previous time: 11.685secs
0.029% is done | total is: 3576384624 | total time: 1022.726secs | previous time: 11.617secs
0.0291% is done | total is: 3593790816 | total time: 1034.273secs | previous time: 11.546secs
0.0292% is done | total is: 3613047336 | total time: 1045.904secs | previous time: 11.631secs
0.0293% is done | total is: 3631648776 | total time: 1056.956secs | previous time: 11.052secs
0.0294% is done | total is: 3649877832 | total time: 1068.401secs | previous time: 11.445secs
0.0295% is done | total is: 3670043160 | total time: 1080.006secs | previous time: 11.605secs
0.0296% is done | total is: 3688701168 | total time: 1091.981secs | previous time: 11.974secs
0.0297% is done | total is: 3706136520 | total time: 1102.538secs | previous time: 10.558secs
0.0298% is done | total is: 3726050072 | total time: 1114.063secs | previous time: 11.524secs
